Date;Symbol;StartDate;EndDate;Offer;Close;Change;Std;Volume;Amount;MktCap
04/11/2011;GRPN;;;20;26,11;30,55 %;;;;
04/04/2014;GRUB;;;26;34;30,77 %;;;;
18/03/2015;GSBD;;;20;20,05;0,25 %;;;;
02/02/2012;GWAY;;;10;13;30,00 %;;;;
15/10/2014;GWB;;;18;18;0,00 %;;;;
25/01/2012;GWRE;;;13;17,12;31,69 %;;;;
20/11/2014;HABT;;;18;39,54;119,67 %;;;;
18/04/2013;HASI;;;12,5;11,4;-8,80 %;;;;
10/03/2011;HCA;;;30;31,02;3,40 %;;;;
03/05/2013;HCAP;;;15;15;0,00 %;;;;
16/08/2012;HCLP;;;17;20;17,65 %;;;;
12/12/2014;HDP;;;16;26,38;64,88 %;;;;
27/06/2013;HDS;;;18,02;18,66;3,55 %;;;;
08/02/2013;HIIQ;;;14;13,7;-2,14 %;;;;
28/03/2014;HIVE;;;10;10;0,00 %;;;;
13/08/2015;HLI;;;21;22,4;6,67 %;;;;
12/12/2013;HLT;;;20;21,5;7,50 %;;;;
14/11/2013;HMHC;;;12;15,86;32,17 %;;;;
07/08/2014;HMLP;;;20;22,25;11,25 %;;;;
10/02/2012;HMST;;;44;48;9,09 %;;;;
24/06/2010;HPP;;;17;17,4;2,35 %;;;;
26/07/2012;HPTX;;;10;10,11;1,10 %;;;;
31/07/2014;HQY;;;14;17,6;25,71 %;;;;
23/05/2014;HRTG;;;11;11,5;4,55 %;;;;
03/12/2014;HSGX;;;11;11,75;6,82 %;;;;
24/07/2013;HTBX;;;10;9,57;-4,30 %;;;;
06/05/2015;HTGM;;;14;13,77;-1,64 %;;;;
26/03/2010;HTHT;;;12,25;13,92;13,63 %;;;;
22/03/2013;HTWO;;;10;10,02;0,20 %;;;;
09/10/2014;HUBS;;;25;30,1;20,40 %;;;;
28/07/2011;HZNP;;;9;9,15;1,67 %;;;;
18/04/2013;I;;;18;19,25;6,94 %;;;;
13/02/2014;IBP;;;11;12,8;16,36 %;;;;
03/04/2013;IBTX;;;26;29,36;12,92 %;;;;
08/08/2014;ICD;;;11;11,06;0,55 %;;;;
25/07/2013;ICEL;;;12;9,5;-20,83 %;;;;
11/10/2012;ICPT;;;15;20,4;36,00 %;;;;
06/08/2010;IL;;;13;9,61;-26,08 %;;;;
24/07/2014;IMDZ;;;12;12,05;0,42 %;;;;
18/11/2011;IMI;;;10;9,5;-5,00 %;;;;
25/06/2014;IMPR;;;15;16,25;8,33 %;;;;
09/11/2011;IMPV;;;18;24;33,33 %;;;;
04/04/2014;IMS;;;20;23;15,00 %;;;;
07/11/2014;INCR;;;18,5;20,49;10,76 %;;;;
14/02/2014;INGN;;;16;15,15;-5,31 %;;;;
09/02/2011;INN;;;9,75;9,69;-0,62 %;;;;
25/07/2014;INNL;;;9;9;0,00 %;;;;
12/02/2015;INOV;;;27;27;0,00 %;;;;
13/11/2015;INST;;;16;18;12,50 %;;;;
02/05/2013;INSY;;;8;9,58;19,75 %;;;;
16/11/2011;INVN;;;7,5;8,9;18,67 %;;;;
28/01/2011;INXN;;;13;13,8;6,15 %;;;;
27/10/2015;IOTS;;;5;5,9;18,00 %;;;;
05/03/2013;IPDN;;;8;7,67;-4,13 %;;;;
11/11/2010;IPHI;;;12;15,3;27,50 %;;;;
16/07/2014;IRMD;;;6,25;9,9;58,40 %;;;;
03/02/2010;IRWD;;;11,25;11,65;3,56 %;;;;
14/12/2010;ISS;;;13;16,2;24,62 %;;;;
01/07/2014;ISTR;;;14;14,2;1,43 %;;;;
18/02/2015;ITEK;;;6;6;0,00 %;;;;
15/06/2015;IVTY;;;12;14,92;24,33 %;;;;
22/05/2014;JD;;;19;20,9;10,00 %;;;;
08/11/2013;JGW;;;14;12,82;-8,43 %;;;;
13/12/2011;JIVE;;;12;15,05;25,42 %;;;;
